Date,Time,VRATE,PBLH,WIND_SPEED(GUST),PRATE,Temp,pixelID,lat,lon,u10,v10,u20,v20,u30,v30,u40,v40,u50,v50,u80,v80,u100,v100,file
2023-01-04,0,2000,0,7.319986,0,295.53662,C,14,100.5,-0.9718982,-1.2434669,-1.4449365,-1.5835816,-1.7022535,-2.0315845,-2.2422314,-3.621438,-4.103396,-4.629475,-4.9404907,-5.179214,-5.7052293,-5.9384007,gfs.0p25.2023010400.f000.grib2
2023-01-04,0,1000,0,7.019986,0,293.8366,D,13.75,100.25,0.2981018,0.1865332,0.13506347,0.066418454,-0.012253418,-0.32158446,-0.61223143,-3.191438,-3.663396,-4.1794753,-4.5404906,-4.859214,-5.6552296,-6.078401,gfs.0p25.2023010400.f000.grib2
2023-01-04,6,4000,0,2.3039212,0,310.05273,A,13.75,100.5,-0.36619627,-0.36156738,-0.37360352,-0.38604248,-0.3984082,-0.4052881,-0.41181886,-2.3835058,-2.2663746,-2.3836622,-2.449851,-2.497361,-2.5798194,-2.6121435,gfs.0p25.2023010406.f000.grib2
2023-01-04,6,2000,0,1.7039212,0,313.75275,B,13.75,100.75,-0.7761963,-0.7115674,-0.7536035,-0.7660425,-0.7784082,-0.7952881,-0.80181885,-1.2435058,-1.1663746,-1.2136621,-1.2498511,-1.2673608,-1.3198193,-1.3421435,gfs.0p25.2023010406.f000.grib2
2023-01-04,6,8000,0,4.803921,0,308.25275,C,14,100.5,-1.4061962,-1.5915674,-1.7236035,-1.8060424,-1.8584082,-1.9852881,-2.0318189,-4.243506,-4.4463744,-4.743662,-4.9198513,-5.027361,-5.2398195,-5.3121433,gfs.0p25.2023010406.f000.grib2
2023-01-04,6,8000,0,4.503921,0,310.45273,D,13.75,100.25,-1.3961962,-1.5215673,-1.6136035,-1.6860424,-1.7384082,-1.825288,-1.8718189,-4.323506,-4.4663744,-4.703662,-4.849851,-4.9573607,-5.1298194,-5.1921434,gfs.0p25.2023010406.f000.grib2
2023-01-04,12,6000,0,5.913131,0,302.51135,A,13.75,100.5,-0.8474268,-1.0004517,-1.1323974,-1.2204711,-1.2800854,-1.4532373,-1.5446484,-4.4294434,-4.9333153,-5.494272,-5.846792,-6.069314,-6.639563,-6.899568,gfs.0p25.2023010412.f000.grib2
2023-01-04,12,1000,0,3.813131,0,299.81134,B,13.75,100.75,0.08257324,0.10954834,0.10760254,0.10952881,0.10991455,0.0867627,0.06535156,-2.7194433,-3.0733154,-3.4042726,-3.626792,-3.789314,-4.159563,-4.269568,gfs.0p25.2023010412.f000.grib2
2023-01-04,12,4000,0,8.413131,0,299.91135,C,14,100.5,-1.1274267,-1.4004517,-1.6123974,-1.7904712,-1.9500854,-2.3732374,-2.6146483,-4.069443,-4.6433153,-5.2142725,-5.636792,-5.989314,-6.789563,-7.189568,gfs.0p25.2023010412.f000.grib2
2023-01-04,12,2000,0,8.013131,0,297.91135,D,13.75,100.25,-0.107426755,-0.30045167,-0.42239746,-0.57047117,-0.72008544,-1.2232373,-1.5646484,-3.6694434,-4.1833153,-4.7742724,-5.246792,-5.659314,-6.709563,-7.219568,gfs.0p25.2023010412.f000.grib2
